Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g04800.1,56,77,7,2,5,0,0,1,0
LOC_Os01g04814.3,915,919,777,1565,1041,808,540,653,838
LOC_Os01g04830.1,0,0,0,0,0,0,1,0,2
LOC_Os01g04840.1,0,0,0,0,0,0,4,3,10
LOC_Os01g04860.1,32,29,16,3,1,1,0,0,1
LOC_Os01g04870.1,17,17,18,422,288,197,24,22,30
LOC_Os01g04880.1,337,321,445,7,5,1,0,0,2
LOC_Os01g04900.3,219,195,287,7,4,0,0,0,2
LOC_Os01g04910.1,69,49,51,2,0,0,1,8,5
LOC_Os01g04920.1,197,193,97,1,0,1,0,0,0
LOC_Os01g04930.1,157,131,120,102,86,33,2,1,2
LOC_Os01g04950.4,183,148,107,3180,2186,1243,128,129,117
LOC_Os01g04960.1,0,0,0,13,5,8,0,0,0
LOC_Os01g04990.1,80,98,31,22,10,19,21,28,17
LOC_Os01g05000.1,0,0,0,2,3,4,0,0,0
LOC_Os01g05010.1,172,153,88,2,0,3,4,5,2
LOC_Os01g05020.1,0,0,0,0,0,2,0,0,0
LOC_Os01g05050.1,1,1,0,0,0,0,0,0,0
LOC_Os01g05060.1,272,306,295,12,9,18,1,4,2
LOC_Os01g05064.1,1,0,0,6,2,1,1,0,2
LOC_Os01g05070.1,496,442,208,393,344,149,133,140,172
LOC_Os01g05080.2,6,7,0,48,28,5,18,10,45
LOC_Os01g05090.1,102,43,41,3,13,0,20,33,48
LOC_Os01g05100.1,89,54,50,95,119,361,4119,4904,6411
LOC_Os01g05105.1,37,32,2,2,2,5,5,8,20
LOC_Os01g05120.1,0,3,2,48,30,16,0,1,0
LOC_Os01g05130.1,157,151,108,231,167,132,37,42,27
LOC_Os01g05140.1,116,101,59,2,0,0,6,2,12
LOC_Os01g05150.1,2,1,0,0,0,0,0,0,0
LOC_Os01g05170.1,0,0,0,0,2,0,0,0,0
LOC_Os01g05180.1,0,0,0,133,80,45,40,26,18
LOC_Os01g05200.1,0,0,0,5,5,0,0,0,0
LOC_Os01g05240.1,0,0,0,1,0,0,0,0,0
LOC_Os01g05250.1,0,0,0,0,0,0,4,0,1
LOC_Os01g05289.1,0,0,0,21,6,10,26,18,20
LOC_Os01g05310.1,0,0,0,0,0,0,0,1,1
LOC_Os01g05320.1,1,0,0,0,0,0,0,0,0
LOC_Os01g05400.1,0,0,1,0,0,0,0,0,0
LOC_Os01g05410.1,0,0,0,0,0,0,0,0,1
LOC_Os01g05420.1,470,382,315,7,6,25,189,199,310
LOC_Os01g05430.1,31,24,14,105,105,248,2277,2670,3472
LOC_Os01g05440.1,0,0,0,13,2,5,35,7,23
LOC_Os01g05450.1,2,3,0,14,5,3,3,7,16
LOC_Os01g05460.1,27,33,20,0,1,0,0,1,0
LOC_Os01g05470.1,806,882,1207,4,2,1,2,1,3
LOC_Os01g05480.1,24,11,18,1,1,0,7,1,0
LOC_Os01g05490.2,1922,2175,1748,75,48,93,474,599,522
LOC_Os01g05500.2,1228,1441,987,1433,652,502,1018,1177,1487
LOC_Os01g05510.4,0,0,0,14,9,2,9,0,1
LOC_Os01g05520.1,0,0,0,1,0,3,6,0,4
LOC_Os01g05530.1,0,0,0,9,6,7,11,0,7
LOC_Os01g05540.1,61,57,23,13,7,2,20,8,16
LOC_Os01g05560.1,250,263,235,53,8,4,19,26,35
LOC_Os01g05580.1,0,0,0,3,5,0,2,5,1
LOC_Os01g05585.1,2,1,1,7,4,1,3,0,4
LOC_Os01g05590.1,0,0,0,7,3,0,0,0,0
LOC_Os01g05600.1,22,17,12,36,14,15,6,1,11
LOC_Os01g05610.1,293,382,196,577,416,305,147,109,162
LOC_Os01g05620.1,25,21,22,18,32,13,13,4,22
LOC_Os01g05630.1,52,49,39,209,156,140,42,25,60
LOC_Os01g05640.1,1,3,0,279,232,259,90,30,107
LOC_Os01g05650.1,760,643,717,2662,1700,1189,1191,1397,1064
LOC_Os01g05660.1,38,37,29,18,12,9,48,83,80
LOC_Os01g05670.1,404,339,179,3,2,0,3,1,4
LOC_Os01g05680.1,14,5,3,11,15,6,2,6,2
LOC_Os01g05710.1,2,5,4,0,3,0,0,0,0
LOC_Os01g05720.1,0,0,0,0,0,1,0,0,0
LOC_Os01g05744.1,2,0,0,6,1,2,0,0,0
LOC_Os01g05770.1,0,0,0,2,0,0,0,0,0
LOC_Os01g05790.1,307,224,201,142,54,86,103,74,89
LOC_Os01g05800.1,111,79,53,5,2,2,1,0,4
LOC_Os01g05810.1,3,4,0,0,0,0,0,0,1
LOC_Os01g05820.1,0,1,0,0,0,0,1,0,0
LOC_Os01g05830.1,78,95,60,795,645,417,91,129,108
LOC_Os01g05840.1,60,48,49,77,28,47,13,20,6
LOC_Os01g05860.1,40,45,22,57,9,44,26,16,13
LOC_Os01g05870.1,21,8,1,88,21,45,4,5,3
LOC_Os01g05880.1,0,0,0,12,7,15,1,0,3
LOC_Os01g05890.1,0,0,0,175,90,93,20,5,11
LOC_Os01g05900.1,81,99,75,1027,730,513,46,46,72
LOC_Os01g05940.1,69,72,29,1296,1096,821,173,121,268
LOC_Os01g05960.1,23,26,13,156,141,121,62,40,96
LOC_Os01g05970.1,122,118,67,150,72,90,45,26,34
LOC_Os01g05980.1,9,9,6,285,185,285,84,47,101
LOC_Os01g06000.1,75,50,15,14,11,0,26,17,37
LOC_Os01g06010.1,238,220,206,1349,1082,774,203,145,206
LOC_Os01g06020.1,241,195,44,234,158,217,89,43,112
LOC_Os01g06030.1,0,0,0,12,0,1,0,0,0
LOC_Os01g06040.1,0,0,0,5,4,0,0,0,2
LOC_Os01g06050.1,67,69,77,7,3,7,1,2,0
LOC_Os01g06060.1,2,4,1,0,0,1,0,0,0
LOC_Os01g06070.1,32,34,37,0,0,1,1,0,0
LOC_Os01g06080.1,0,0,0,0,5,2,1,0,0
LOC_Os01g06090.1,7,13,3,0,0,0,0,0,0
LOC_Os01g06120.1,1,4,3,0,0,0,0,0,0
LOC_Os01g06130.1,46,32,43,1,0,0,4,8,5
LOC_Os01g06140.1,35,34,5,3,0,0,0,0,0
LOC_Os01g06150.1,1,6,4,6,2,3,1,0,0
LOC_Os01g06160.1,0,0,0,3,1,0,0,0,0
LOC_Os01g06220.1,1,0,0,0,0,0,0,0,0
LOC_Os01g06260.1,0,0,0,1,2,0,1,0,2
LOC_Os01g06270.2,165,149,66,683,641,300,17,6,48
LOC_Os01g06280.1,623,696,877,154,102,86,13,10,23
LOC_Os01g06290.4,740,852,1053,155,86,87,18,11,21
LOC_Os01g06300.1,0,0,0,1,0,0,0,0,0
LOC_Os01g06310.1,0,0,0,2,0,0,0,0,0
LOC_Os01g06320.1,49,52,20,0,2,0,0,0,0
LOC_Os01g06340.1,6,11,0,0,0,0,0,0,0
LOC_Os01g06360.1,0,0,0,8,1,4,0,0,0
LOC_Os01g06370.1,1,0,1,1,0,0,0,0,0
LOC_Os01g06380.1,0,1,0,0,0,0,0,0,0
LOC_Os01g06390.1,0,0,0,1,1,0,0,0,0
LOC_Os01g06400.1,0,0,0,0,0,0,1,14,6
LOC_Os01g06410.1,0,0,0,14,5,7,1,0,0
